"area_code","area_type","area_name","year","period","type_definition","indicator","numerator","measure","upper_confidence_interval","lower_confidence_interval"
"S12000008","Council area","East Ayrshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,25.3,31.6,19.8
"S12000013","Council area","Na h-Eileanan Siar",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,17.4,23.7,12.5
"S12000047","Council area","Fife",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,19.7,23.3,16.5
"S12000017","Council area","Highland",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,16.3,22.4,11.6
"S12000021","Council area","North Ayrshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,29.4,36.9,22.9
"S12000023","Council area","Orkney Islands",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,25.7,32.1,20.2
"S12000027","Council area","Shetland Islands",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,24.3,31.5,18.4
"S12000028","Council area","South Ayrshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,19.4,24.9,14.9
"S12000029","Council area","South Lanarkshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,22.9,29.5,17.4
"S12000033","Council area","Aberdeen City",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,30.9,37.4,25
"S12000034","Council area","Aberdeenshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,17.2,21.8,13.4
"S12000036","Council area","City of Edinburgh",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,32.3,38.9,26.3
"S12000050","Council area","North Lanarkshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,27.2,34,21.4
"S12000049","Council area","Glasgow City",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, males",NA,30.4,35,26.1
"S12000008","Council area","East Ayrshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,11.7,16.6,8.1
"S12000013","Council area","Na h-Eileanan Siar",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,5.5,11.1,2.6
"S12000047","Council area","Fife",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,10.5,12.8,8.6
"S12000017","Council area","Highland",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,7.2,11.7,4.4
"S12000021","Council area","North Ayrshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,11.5,15.7,8.3
"S12000023","Council area","Orkney Islands",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,6.8,11.1,4.1
"S12000027","Council area","Shetland Islands",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,11.7,17.9,7.5
"S12000028","Council area","South Ayrshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,8.7,12.1,6.2
"S12000029","Council area","South Lanarkshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,9.9,13.5,7.2
"S12000033","Council area","Aberdeen City",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,14.7,19.2,11.1
"S12000034","Council area","Aberdeenshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,8.7,11.9,6.3
"S12000036","Council area","City of Edinburgh",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,13.5,18.8,9.5
"S12000050","Council area","North Lanarkshire",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,14.6,20.2,10.4
"S12000049","Council area","Glasgow City",2016,"4-year aggregate (2014 - 2017)","Percentage","Alcohol problem drinking, females",NA,19.6,23.3,16.4
"S12000005","Council area","Clackmannanshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,25,40,10
"S12000006","Council area","Dumfries & Galloway",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,33.3,43.7,22.9
"S12000008","Council area","East Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,13.4,20.9,5.9
"S12000010","Council area","East Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,21.5,32,11
"S12000011","Council area","East Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,8.9,16.9,0.8
"S12000013","Council area","Na h-Eileanan Siar",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,19,33.6,4.5
"S12000014","Council area","Falkirk",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,12.6,19,6.2
"S12000017","Council area","Highland",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,27.2,37.4,16.9
"S12000018","Council area","Inverclyde",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,16,24.3,7.7
"S12000019","Council area","Midlothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,17.5,27.2,7.9
"S12000020","Council area","Moray",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,27.4,42.8,12.1
"S12000021","Council area","North Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,16.6,25.6,7.6
"S12000023","Council area","Orkney Islands",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,24.5,46.8,2.1
"S12000026","Council area","Scottish Borders",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,29.2,43.4,15
"S12000027","Council area","Shetland Islands",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,10.4,18.1,2.7
"S12000028","Council area","South Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,22.6,33.2,12
"S12000029","Council area","South Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,15.5,20.8,10.1
"S12000030","Council area","Stirling",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,6.8,13,0.6
"S12000033","Council area","Aberdeen City",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,17.3,23,11.6
"S12000034","Council area","Aberdeenshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,22.9,30.7,15.1
"S12000035","Council area","Argyll & Bute",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,19.7,28.9,10.6
"S12000036","Council area","City of Edinburgh",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,15,18.5,11.6
"S12000038","Council area","Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,18.9,27.2,10.5
"S12000039","Council area","West Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,22.6,32.7,12.4
"S12000040","Council area","West Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,17.7,25.5,9.9
"S12000041","Council area","Angus",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,28.2,40.2,16.3
"S12000042","Council area","Dundee City",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,11.7,17.8,5.6
"S12000045","Council area","East Dunbartonshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,9.4,17.2,1.6
"S12000047","Council area","Fife",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,23,29.6,16.5
"S12000048","Council area","Perth & Kinross",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,13.9,23.8,3.9
"S12000049","Council area","Glasgow City",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,19.3,23,15.7
"S12000050","Council area","North Lanarkshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-34 years",NA,19.2,24.4,14
"S12000005","Council area","Clackmannanshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,27.5,34.6,20.5
"S12000006","Council area","Dumfries & Galloway",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,26.8,32.1,21.5
"S12000008","Council area","East Ayrshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,16.5,20.8,12.2
"S12000010","Council area","East Lothian",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,23.6,29.8,17.3
"S12000011","Council area","East Renfrewshire",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,9.4,13.6,5.2
"S12000013","Council area","Na h-Eileanan Siar",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,20,26.3,13.7
"S12000014","Council area","Falkirk",2019,"2019 survey year","Percentage","Smoking prevalence, aged 16-64 years",NA,16.5,20.5,12.5
