ltla24_name,ltla24_code,domain,subdomain,indicator,value,quantile
Aberdeen City,S12000033,Healthy Lives,Behavioural risk factors,Alcohol misuse,172.88906730897898,4
Aberdeen City,S12000033,Healthy Lives,Protective measures,Cancer screening,67.8,3
Aberdeen City,S12000033,Healthy Lives,Protective measures,Child vaccine coverage,91.85208333333333,1
Aberdeen City,S12000033,Healthy Lives,Behavioural risk factors,Drug misuse,71.84091845329498,4
Aberdeen City,S12000033,Healthy Lives,Children and young people,Early years development,10.177935943060499,5
Aberdeen City,S12000033,Healthy Lives,Behavioural risk factors,Healthy eating,21,3
Aberdeen City,S12000033,Healthy Lives,Physiological risk factors,High blood pressure,17,5
Aberdeen City,S12000033,Healthy Lives,Physiological risk factors,Low birth weight,14.700000000000003,4
Aberdeen City,S12000033,Healthy Lives,Children and young people,National five attainment,74.7,4
Aberdeen City,S12000033,Healthy Lives,Physiological risk factors,Overweight obesity adults,59,5
Aberdeen City,S12000033,Healthy Lives,Physiological risk factors,Overweight obesity children,14.924538848518726,4
Aberdeen City,S12000033,Healthy Lives,Behavioural risk factors,Physical activity,72,5
Aberdeen City,S12000033,Healthy Lives,Children and young people,Pupil absence,25.7,1
Aberdeen City,S12000033,Healthy Lives,Behavioural risk factors,Sedentary behaviour,17,5
Aberdeen City,S12000033,Healthy Lives,Behavioural risk factors,Sexual health,582,4
Aberdeen City,S12000033,Healthy Lives,Behavioural risk factors,Smoking,14,3
Aberdeen City,S12000033,Healthy Lives,Children and young people,Teenage pregnancy,25.4,2
Aberdeen City,S12000033,Healthy Lives,Children and young people,Young people training,92.8,1
Aberdeen City,S12000033,Healthy People,Mortality,All mortality,1140,3
Aberdeen City,S12000033,Healthy People,Personal wellbeing,Anxiety,3.42,1
Aberdeen City,S12000033,Healthy People,Mortality,Avoidable deaths,314,3
Aberdeen City,S12000033,Healthy People,Physical health conditions,Cancer,656.5,1
Aberdeen City,S12000033,Healthy People,Physical health conditions,Cardiovascular conditions,9.777420937597572,5
Aberdeen City,S12000033,Healthy People,Physical health conditions,Dementia,45,5
Aberdeen City,S12000033,Healthy People,Physical health conditions,Diabetes,5.6,1
Aberdeen City,S12000033,Healthy People,Difficulties in daily life,Disability,16.44156706507304,5
Aberdeen City,S12000033,Healthy People,Personal wellbeing,Happiness,7.49,3
Aberdeen City,S12000033,Healthy People,Mortality,Healthy life expectancy,60.802780635800026,2
Aberdeen City,S12000033,Healthy People,Mortality,Infant mortality,3.1,2
Aberdeen City,S12000033,Healthy People,Personal wellbeing,Life satisfaction,7.35,1
Aberdeen City,S12000033,Healthy People,Personal wellbeing,Life worthwhileness,7.65,1
Aberdeen City,S12000033,Healthy People,Mental health,Mental health conditions,17.2,5
Aberdeen City,S12000033,Healthy People,Physical health conditions,Musculoskeletal conditions,0.6852927148112132,5
Aberdeen City,S12000033,Healthy People,Mental health,Suicides,14.4,5
Aberdeen City,S12000033,Healthy Places,Living conditions,Air pollution,3.4991,3
Aberdeen City,S12000033,Healthy Places,Economic and working conditions,Child poverty,14.2,4
Aberdeen City,S12000033,Healthy Places,Access to services,Gp appointments,0.6241,1
Aberdeen City,S12000033,Healthy Places,Access to services,Gp travel time,12.416666666666666,2
Aberdeen City,S12000033,Healthy Places,Living conditions,Household overcrowding,2.4,2
Aberdeen City,S12000033,Healthy Places,Access to services,Internet access,0.972,5
Aberdeen City,S12000033,Healthy Places,Economic and working conditions,Job training,17,5
Aberdeen City,S12000033,Healthy Places,Crime,Low level crime,93.893572416,1
Aberdeen City,S12000033,Healthy Places,Crime,Personal crime,283.331103086,1
Aberdeen City,S12000033,Healthy Places,Access to services,Pharmacy travel time,6.666666666666667,5
Aberdeen City,S12000033,Healthy Places,Access to green space,Private outdoor space,96.8,3
Aberdeen City,S12000033,Healthy Places,Living conditions,Road safety,0.15625552626394484,1
Aberdeen City,S12000033,Healthy Places,Living conditions,Rough sleeping,41.712403951701425,3
Aberdeen City,S12000033,Healthy Places,Access to services,Sports centre travel time,8.583333333333334,5
Aberdeen City,S12000033,Healthy Places,Living conditions,Traffic volume,5.118715515543021,1
Aberdeen City,S12000033,Healthy Places,Economic and working conditions,Unemployment,3.60649578,2
Aberdeen City,S12000033,Healthy Places,Economic and working conditions,Workplace safety,163,5
Aberdeenshire,S12000034,Healthy Lives,Behavioural risk factors,Alcohol misuse,77.4218009478673,5
Aberdeenshire,S12000034,Healthy Lives,Protective measures,Cancer screening,73.6,5
Aberdeenshire,S12000034,Healthy Lives,Protective measures,Child vaccine coverage,96.05416666666666,5
Aberdeenshire,S12000034,Healthy Lives,Behavioural risk factors,Drug misuse,19.619685897157385,5
Aberdeenshire,S12000034,Healthy Lives,Children and young people,Early years development,10.74074074074074,5
Aberdeenshire,S12000034,Healthy Lives,Behavioural risk factors,Healthy eating,18,2
Aberdeenshire,S12000034,Healthy Lives,Physiological risk factors,High blood pressure,22,4
Aberdeenshire,S12000034,Healthy Lives,Physiological risk factors,Low birth weight,17.200000000000003,2
Aberdeenshire,S12000034,Healthy Lives,Children and young people,National five attainment,74.4,4
Aberdeenshire,S12000034,Healthy Lives,Physiological risk factors,Overweight obesity adults,70,2
Aberdeenshire,S12000034,Healthy Lives,Physiological risk factors,Overweight obesity children,13.202042304886943,5
Aberdeenshire,S12000034,Healthy Lives,Behavioural risk factors,Physical activity,68,4
Aberdeenshire,S12000034,Healthy Lives,Children and young people,Pupil absence,30.6,1
Aberdeenshire,S12000034,Healthy Lives,Behavioural risk factors,Sedentary behaviour,16,5
Aberdeenshire,S12000034,Healthy Lives,Behavioural risk factors,Sexual health,582,5
Aberdeenshire,S12000034,Healthy Lives,Behavioural risk factors,Smoking,14,4
Aberdeenshire,S12000034,Healthy Lives,Children and young people,Teenage pregnancy,18,5
Aberdeenshire,S12000034,Healthy Lives,Children and young people,Young people training,95.3,3
Aberdeenshire,S12000034,Healthy People,Mortality,All mortality,1000,5
Aberdeenshire,S12000034,Healthy People,Personal wellbeing,Anxiety,3.05,3
Aberdeenshire,S12000034,Healthy People,Mortality,Avoidable deaths,244.9,5
Aberdeenshire,S12000034,Healthy People,Physical health conditions,Cancer,593.6,4
Aberdeenshire,S12000034,Healthy People,Physical health conditions,Cardiovascular conditions,9.493838862559242,5
Aberdeenshire,S12000034,Healthy People,Physical health conditions,Dementia,48,5
Aberdeenshire,S12000034,Healthy People,Physical health conditions,Diabetes,5.6,1
Aberdeenshire,S12000034,Healthy People,Difficulties in daily life,Disability,15.673578377294154,5
Aberdeenshire,S12000034,Healthy People,Personal wellbeing,Happiness,7.59,4
Aberdeenshire,S12000034,Healthy People,Mortality,Healthy life expectancy,67.25032129125584,5
Aberdeenshire,S12000034,Healthy People,Mortality,Infant mortality,2.3,4
Aberdeenshire,S12000034,Healthy People,Personal wellbeing,Life satisfaction,7.77,5
Aberdeenshire,S12000034,Healthy People,Personal wellbeing,Life worthwhileness,7.9,4
Aberdeenshire,S12000034,Healthy People,Mental health,Mental health conditions,17.5,5
Aberdeenshire,S12000034,Healthy People,Physical health conditions,Musculoskeletal conditions,0.7807950492606285,4
Aberdeenshire,S12000034,Healthy People,Mental health,Suicides,15.7,4
Aberdeenshire,S12000034,Healthy Places,Living conditions,Air pollution,2.9259,4
Aberdeenshire,S12000034,Healthy Places,Economic and working conditions,Child poverty,9.6,5
Aberdeenshire,S12000034,Healthy Places,Access to services,Gp appointments,0.6241,1
Aberdeenshire,S12000034,Healthy Places,Access to services,Gp travel time,23.608333333333334,1
Aberdeenshire,S12000034,Healthy Places,Living conditions,Household overcrowding,1.1,5
Aberdeenshire,S12000034,Healthy Places,Access to services,Internet access,0.956,5
Aberdeenshire,S12000034,Healthy Places,Economic and working conditions,Job training,9.3,2
